chestcircumference,biacromialbreadth,weightkg,waistbreadth,t-shirt size
934,363,655,308,M
844,346,499,253,S
1072,395,924,350,2XL
1084,386,716,301,2XL
987,362,763,306,L
965,372,591,298,L
993,376,694,327,L
945,377,701,296,L
854,350,566,278,S
825,345,467,243,S
874,355,599,269,S
972,377,642,282,L
873,356,548,281,S
844,354,485,259,S
1000,384,753,289,XL
938,356,636,310,M
950,386,758,322,L
942,373,740,301,L
964,385,725,322,L
1015,376,721,315,XL
862,361,561,271,S
861,360,583,283,S
927,370,677,311,M
841,334,468,255,S
1072,385,820,356,2XL
988,361,664,322,L
984,380,626,283,L
938,370,653,304,L
866,358,539,268,S
949,366,704,305,L
935,363,640,295,L
845,337,470,239,S
836,359,502,238,S
949,366,597,269,L
954,375,646,298,L
940,361,726,323,L
988,378,789,282,L
969,369,625,305,L
957,366,680,311,L
997,377,688,298,XL
997,365,733,372,L
943,365,605,294,L
934,358,722,336,M
1031,397,908,326,XL
985,363,760,314,L
935,384,606,275,L
996,369,602,299,L
966,372,765,331,L
908,366,671,313,M
985,373,589,295,L
896,372,615,304,M
864,356,529,258,S
890,362,596,289,M
958,368,676,326,L
926,351,658,314,M
878,347,596,298,S
858,358,556,262,S
870,351,561,283,S
923,370,613,245,M
1057,394,823,359,2XL
896,369,561,284,M
991,377,754,322,L
952,368,583,297,L
1067,388,920,366,2XL
1105,394,841,380,2XL
999,394,660,305,XL
1014,386,842,325,XL
896,370,596,298,M
943,373,688,298,L
996,369,748,334,L
911,372,699,300,M
1005,368,691,310,L
873,359,566,268,S
976,371,699,303,L
834,341,468,259,S
1004,365,789,324,L
896,370,592,283,M
951,378,746,353,L
772,311,428,229,XS
1034,381,853,348,XL
899,348,664,301,M
867,337,565,283,S
971,386,714,299,L
971,374,702,277,L
987,378,812,368,L
979,376,686,319,L
887,357,562,267,M
859,349,564,258,S
980,376,653,311,L
984,367,777,308,L
988,384,697,316,L
900,359,681,304,M
895,359,589,253,M
1024,373,750,324,XL
948,382,744,284,L
1033,390,793,341,XL
960,375,735,315,L
1000,387,705,347,XL
866,356,493,250,S
950,373,654,274,L
1159,395,856,356,3XL
908,372,648,266,M
920,363,659,290,M
829,353,524,286,S
925,352,685,261,M
1096,388,1017,377,2XL
862,349,487,234,S
968,374,617,276,L
908,354,696,282,M
956,379,753,295,L
1003,386,812,316,XL
899,355,595,299,M
958,381,740,311,L
1028,380,799,335,XL
957,369,645,308,L
1007,370,725,332,L
884,362,630,286,M
992,386,762,342,L
913,363,696,264,M
957,361,665,325,L
757,331,400,231,XS
985,366,736,335,L
1036,374,770,332,XL
943,358,630,286,M
960,374,761,322,L
879,352,573,272,S
935,362,617,284,L
886,370,663,291,M
1018,375,850,346,XL
929,369,601,291,M
935,362,655,272,L
932,369,716,324,M
906,361,611,263,M
991,376,791,310,L
1000,368,676,315,L
862,336,501,259,S
976,378,696,305,L
899,357,599,275,M
945,352,740,318,M
892,353,569,272,M
980,383,751,306,L
1059,404,842,333,2XL
852,343,558,307,S
870,333,535,297,S
880,353,581,275,S
962,367,733,322,L
925,355,635,288,M
895,358,546,283,M
1101,387,820,356,2XL
903,355,574,288,M
836,344,558,262,S
869,361,591,284,S
843,343,522,264,S
963,364,730,296,L
1000,388,718,326,XL
1002,385,779,340,XL
960,376,695,279,L
957,372,755,318,L
922,356,645,301,M
837,340,460,240,S
871,339,610,260,S
1115,401,925,337,3XL
924,357,666,283,M
997,396,821,344,XL
870,346,591,274,S
1025,376,722,320,XL
1006,377,770,321,XL
933,370,685,276,M
900,350,587,275,M
1045,375,820,331,XL
925,371,557,279,M
975,366,648,280,L
910,353,566,272,M
952,376,584,281,L
943,355,654,272,M
1038,396,809,306,XL
906,372,677,276,M
1095,392,847,343,2XL
1032,376,781,346,XL
981,362,552,292,L
1113,400,832,315,3XL
1068,394,786,303,2XL
1025,389,851,335,XL
925,352,678,322,M
927,360,645,274,M
948,369,843,308,L
965,374,645,295,L
891,368,555,316,M
997,376,779,278,XL
1016,378,763,331,XL
997,369,717,334,L
902,372,674,315,M
912,369,776,290,M
856,342,513,239,S
917,363,591,294,M
930,354,658,313,M
876,337,504,277,S
962,371,685,303,L
891,351,568,266,M
987,381,783,326,L
967,364,709,301,L
841,344,509,266,S
839,354,547,250,S
1027,396,784,336,XL
925,370,590,267,M
1015,391,763,334,XL
942,383,730,314,L
885,350,700,305,M
996,382,738,329,XL
937,375,631,283,L
855,351,589,262,S
997,389,864,335,XL
887,348,549,290,M
897,344,530,275,S
961,366,692,317,L
1004,394,713,307,XL
971,370,699,310,L
858,359,632,266,S
946,352,696,286,M
920,361,593,279,M
902,369,695,314,M
970,360,797,265,L
926,360,677,292,M
1117,412,882,333,3XL
943,354,634,318,M
981,374,765,332,L
892,364,654,313,M
1000,397,837,306,XL
975,382,652,297,L
1005,365,624,293,L
1016,395,748,330,XL
889,368,542,250,M
983,377,814,311,L
883,344,563,271,S
1152,404,967,378,3XL
855,353,502,255,S
923,353,597,303,M
897,368,720,305,M
990,363,673,348,L
906,352,784,300,M
1010,377,630,314,XL
1046,380,793,330,XL
895,372,564,287,M
846,351,590,240,S
991,370,699,329,L
878,337,573,297,S
876,357,603,270,S
1062,378,767,318,XL
932,356,667,306,M
850,349,518,265,S
1004,363,690,305,L
859,354,646,280,S
880,345,540,266,S
825,351,431,223,S
985,374,746,299,L
1016,391,727,304,XL
878,361,574,251,S
902,352,655,277,M
884,371,577,273,M
992,370,702,292,L
1021,380,931,385,XL
824,350,532,257,S
945,365,655,304,L
975,362,691,318,L
1013,391,965,327,XL
923,368,660,291,M
1009,376,814,324,XL
782,337,503,260,XS
885,348,547,270,M
833,356,604,264,S
870,348,616,288,S
872,330,548,260,S
838,357,604,246,S
930,361,640,326,M
845,342,669,293,S
1007,391,791,322,XL
908,364,598,275,M
975,383,736,284,L
996,372,863,355,L
995,368,725,329,L
964,365,764,326,L
969,379,699,311,L
914,349,654,284,M
820,348,538,266,S
882,333,577,273,S
909,349,598,284,M
786,332,488,242,XS
897,352,583,255,M
906,366,685,325,M
933,364,648,290,M
841,352,564,270,S
936,383,665,320,L
945,359,649,307,M
927,367,680,287,M
909,368,712,304,M
939,366,612,298,L
933,353,722,292,M
989,365,672,317,L
930,358,605,289,M
877,333,621,268,S
830,355,609,255,S
798,339,470,211,XS
955,376,786,333,L
958,384,725,289,L
942,380,787,291,L
825,360,535,257,S
844,350,638,254,S
888,351,752,266,M
843,359,602,257,S
958,383,782,317,L
803,329,540,255,XS
914,354,619,277,M
848,349,577,278,S
867,354,673,277,S
909,359,608,285,M
958,365,648,297,L
1052,406,788,332,2XL
910,363,667,333,M
1057,377,749,310,XL
902,371,695,343,M
909,366,697,314,M
965,376,669,290,L
945,372,831,322,L
943,358,735,302,M
948,375,763,302,L
975,367,700,310,L
923,348,626,294,M
881,352,607,265,S
986,363,705,324,L
896,349,633,271,M
823,345,564,252,S
883,348,618,263,S
954,385,686,295,L
869,334,634,275,S
946,367,751,305,L
895,355,582,284,M
876,345,664,349,S
962,369,757,316,L
910,368,632,279,M
898,358,616,281,M
921,356,584,263,M
951,378,751,290,L
936,375,739,291,L
844,361,620,273,S
888,361,645,274,M
895,340,563,260,S
865,360,631,268,S
906,371,548,263,M
908,358,650,298,M
952,385,738,330,L
956,367,849,321,L
855,357,609,268,S
900,355,654,291,M
848,344,609,277,S
902,364,701,294,M
930,362,689,287,M
931,357,736,309,M
920,368,660,298,M
1025,383,776,312,XL
945,368,675,307,L
890,367,604,288,M
1112,390,717,333,2XL
917,355,574,266,M
824,337,426,243,S
889,351,585,261,M
983,367,740,289,L
976,369,765,327,L
1029,376,852,353,XL
915,348,671,320,M
1015,393,754,344,XL
945,378,663,304,L
843,350,480,264,S
1096,386,830,323,2XL
974,373,756,326,L
1032,388,784,318,XL
847,339,517,291,S
897,354,613,311,M
1015,380,729,328,XL
924,362,701,314,M
737,327,426,230,XS
937,364,719,326,L
1004,390,794,317,XL
950,374,800,365,L
917,357,625,285,M
868,354,578,270,S
980,378,749,310,L
945,380,650,281,L
857,338,633,279,S
885,334,526,277,S
994,365,766,339,L
1202,400,934,384,3XL
982,370,667,286,L
922,369,646,299,M
889,347,525,282,S
792,312,490,255,XS
908,364,772,310,M
964,365,643,301,L
972,361,693,318,L
1003,378,725,339,XL
1035,384,816,313,XL
863,361,570,285,S
980,372,804,358,L
933,367,706,292,M
976,375,808,325,L
1003,386,834,316,XL
947,372,659,289,L
941,361,712,285,L
900,366,689,307,M
874,355,630,273,S
1214,419,1069,400,3XL
893,362,639,303,M
940,378,630,288,L
1033,376,874,348,XL
995,384,752,308,XL
870,359,559,267,S
1110,388,821,349,2XL
982,363,663,296,L
897,355,638,284,M
838,350,589,281,S
996,381,761,320,XL
882,351,541,276,S
895,358,616,282,M
1053,383,852,347,XL
882,360,582,263,S
1036,380,742,303,XL
964,370,690,314,L
935,374,675,323,L
924,361,652,297,M
1032,383,826,346,XL
923,357,556,265,M
934,354,719,292,M
901,356,578,283,M
1023,387,713,332,XL
976,382,655,287,L
864,359,663,260,S
880,360,671,282,S
887,365,585,255,M
900,362,589,279,M
1035,397,785,338,XL
985,368,649,275,L
884,343,616,265,S
890,361,652,292,M
1041,376,802,327,XL
949,378,647,273,L
855,359,580,269,S
845,331,548,278,S
902,368,651,312,M
1051,386,719,330,XL
1003,390,726,297,XL
882,360,716,303,S
965,366,604,288,L
830,332,582,273,S
1005,367,698,292,L
844,356,590,257,S
954,365,666,331,L
925,361,670,282,M
947,359,618,272,M
899,363,582,265,M
900,365,609,292,M
896,346,510,263,S
948,349,671,304,M
776,318,504,211,XS
1005,373,760,295,XL
1006,361,712,306,L
953,372,665,318,L
935,348,735,322,M
895,346,544,250,S
852,339,563,275,S
992,372,801,333,L
970,374,772,308,L
936,378,704,269,L
882,352,590,276,S
822,348,546,247,S
957,378,725,295,L
896,370,631,294,M
804,334,537,249,XS
900,371,597,288,M
944,358,607,289,M
875,346,577,284,S
881,345,499,262,S
926,367,687,288,M
919,361,632,312,M
989,360,776,316,L
836,360,602,257,S
944,370,771,336,L
841,344,462,253,S
863,346,591,255,S
870,342,574,277,S
824,351,518,278,S
881,360,631,281,S
929,365,653,295,M
950,377,661,275,L
892,358,598,306,M
852,353,533,259,S
1071,398,755,327,2XL
987,379,702,322,L
947,357,680,305,M
956,369,750,305,L
1002,391,716,288,XL
966,376,723,306,L
1030,386,765,334,XL
914,366,600,255,M
933,370,695,290,M
917,348,637,286,M
1022,375,815,320,XL
956,370,773,300,L
850,355,537,256,S
912,350,672,280,M
886,365,654,255,M
824,347,669,285,S
945,364,668,297,L
907,368,672,256,M
887,353,597,288,M
929,359,658,288,M
917,364,681,308,M
883,360,643,268,S
854,345,560,269,S
908,361,613,276,M
889,356,586,261,M
874,359,560,269,S
851,337,616,283,S
811,337,533,262,XS
935,361,658,289,L
942,366,777,300,L
1037,376,806,352,XL
836,330,522,273,S
1040,376,845,369,XL
985,383,685,315,L
932,349,646,307,M
908,367,679,264,M
820,343,509,266,S
826,335,505,249,S
1001,371,756,330,L
956,364,634,300,L
1019,376,804,323,XL
971,368,762,325,L
890,354,526,264,M
920,360,557,287,M
1003,370,759,329,L
988,362,697,314,L
912,367,614,310,M
1027,393,742,312,XL
995,365,671,314,L
972,375,803,300,L
891,366,681,283,M
998,367,734,325,L
983,376,672,280,L
923,351,493,256,M
988,364,733,293,L
936,366,729,310,L
920,367,631,268,M
904,351,666,275,M
865,355,667,295,S
864,343,497,250,S
848,351,558,276,S
937,366,695,283,L
947,348,563,280,M
860,357,603,278,S
945,352,642,286,M
859,361,583,280,S
1076,392,843,338,2XL
863,350,470,250,S
983,366,717,302,L
845,350,532,244,S
990,375,747,310,L
924,357,622,291,M
899,357,574,272,M
972,365,646,308,L
855,333,529,277,S
947,366,648,290,L
967,377,751,300,L
1026,387,740,322,XL
1018,378,758,346,XL
849,344,554,277,S
1064,382,824,342,XL
874,343,503,277,S
885,371,650,287,M
821,351,601,261,S
922,352,616,271,M
848,350,589,270,S
962,366,706,316,L
931,353,628,330,M
795,340,503,240,XS
910,352,599,280,M
1050,387,831,335,XL
964,363,622,295,L
973,369,706,290,L
917,367,667,315,M
953,368,730,304,L
1032,392,842,345,XL
799,336,549,273,XS
990,369,670,295,L
999,383,771,311,XL
935,366,668,275,L
1045,377,757,328,XL
990,372,857,309,L
922,356,678,292,M
893,361,630,298,M
925,363,646,270,M
805,329,444,251,XS
941,357,696,293,M
904,355,707,313,M
937,375,643,294,L
869,359,654,271,S
1031,394,853,345,XL
948,356,750,330,M
1053,404,837,336,2XL
838,361,590,255,S
945,362,621,285,L
915,359,614,302,M
853,353,544,253,S
875,333,603,283,S
1021,373,792,332,XL
995,361,603,311,L
1127,399,885,352,3XL
1038,379,842,344,XL
908,353,634,280,M
870,336,561,265,S
877,349,505,246,S
1035,388,835,293,XL
807,325,463,242,XS
1145,397,1019,384,3XL
915,349,645,284,M
896,346,589,281,S
837,331,528,258,S
913,354,623,275,M
860,335,527,254,S
1045,374,721,314,XL
932,350,589,284,M
854,355,620,278,S
893,346,543,298,S
867,340,648,305,S
866,353,643,291,S
957,381,736,356,L
946,366,647,280,L
937,383,746,301,L
965,362,705,311,L
1045,390,868,369,XL
935,383,673,274,L
802,340,516,243,XS
1005,379,757,341,XL
1048,375,717,348,XL
915,360,738,290,M
920,360,769,312,M
1045,377,740,323,XL
847,340,626,327,S
1005,366,738,316,L
968,373,808,288,L
902,370,631,289,M
1001,374,638,308,XL
954,374,698,283,L
826,351,489,225,S
931,365,650,298,M
913,365,679,282,M
984,384,920,347,L
920,365,618,278,M
951,372,712,300,L
921,360,643,315,M
935,371,793,319,L
979,365,686,298,L
882,359,688,286,S
1053,392,765,354,2XL
887,361,590,300,M
964,370,626,307,L
978,361,688,280,L
981,377,707,278,L
945,355,685,304,M
836,355,571,267,S
943,363,672,265,L
924,362,692,279,M
861,358,644,291,S
908,359,683,302,M
852,352,582,252,S
861,352,532,274,S
985,381,703,313,L
886,339,569,291,S
897,335,504,282,S
918,353,648,314,M
949,380,652,302,L
830,353,548,279,S
897,340,561,260,S
900,351,577,246,M
934,358,790,299,M
996,364,671,316,L
943,365,620,298,L
885,332,626,301,S
873,358,587,248,S
913,372,694,301,M
930,350,647,281,M
883,337,621,314,S
956,368,698,336,L
835,348,656,276,S
928,371,633,288,M
892,350,621,272,M
821,283,467,259,XS
978,380,639,295,L
911,359,698,278,M
981,362,654,288,L
862,355,593,254,S
825,321,480,252,XS
951,375,557,272,L
945,352,661,315,M
1057,387,794,328,2XL
887,361,530,256,M
877,333,524,275,S
893,360,559,254,M
880,335,578,273,S
1033,384,849,352,XL
895,364,607,271,M
919,362,623,304,M
825,346,516,235,S
904,366,566,298,M
908,355,576,280,M
1005,383,807,303,XL
895,340,622,266,S
978,370,711,300,L
889,347,623,283,S
880,343,578,271,S
1026,383,755,318,XL
1062,383,888,320,XL
921,367,665,271,M
1029,373,665,308,XL
983,365,673,316,L
1004,374,735,322,XL
873,356,578,291,S
907,372,637,279,M
970,365,693,297,L
903,366,500,252,M
916,350,567,264,M
942,361,683,277,L
882,345,591,262,S
966,375,664,330,L
968,373,710,315,L
883,354,593,289,S
910,354,658,287,M
940,358,634,289,M
869,350,480,260,S
1042,383,793,320,XL
934,373,770,295,M
984,365,649,315,L
887,372,550,256,M
1081,389,875,335,2XL
1012,388,768,309,XL
1018,380,763,322,XL
935,383,650,252,L
896,355,555,275,M
888,349,548,295,M
879,356,650,301,S
976,364,772,328,L
888,360,537,291,M
1010,393,833,323,XL
967,368,599,292,L
941,354,643,312,M
880,357,613,271,S
1027,377,847,336,XL
953,372,687,318,L
997,384,697,306,XL
956,367,631,285,L
795,324,513,238,XS
937,368,694,327,L
826,349,509,257,S
878,332,520,231,S
976,380,678,303,L
940,378,657,306,L
973,378,797,306,L
1021,393,682,301,XL
840,355,489,278,S
888,362,617,292,M
955,373,706,304,L
909,367,611,256,M
1001,382,662,305,XL
933,366,616,273,M
974,361,737,330,L
1080,404,920,338,2XL
1113,389,802,349,2XL
1078,393,831,380,2XL
886,355,599,253,M
962,376,725,316,L
910,362,624,302,M
846,354,623,276,S
899,367,630,290,M
1032,392,820,327,XL
1098,393,910,383,2XL
965,365,801,344,L
879,350,601,276,S
947,357,842,330,M
992,384,791,340,L
884,340,568,290,S
1015,390,720,320,XL
881,345,652,283,S
826,353,560,254,S
990,386,824,316,L
1047,394,825,318,XL
1071,398,995,375,2XL
951,371,698,291,L
1026,384,766,336,XL
900,366,651,286,M
800,334,518,271,XS
868,349,549,298,S
914,354,583,275,M
883,352,670,289,S
936,359,631,272,M
941,370,676,292,L
872,353,534,265,S
1008,383,748,313,XL
915,352,644,271,M
979,362,677,304,L
904,365,620,275,M
868,358,599,268,S
898,369,644,310,M
822,333,536,275,S
936,383,662,288,L
881,341,586,268,S
886,342,526,275,S
894,337,564,285,S
996,395,871,319,XL
893,355,629,301,M
928,373,712,319,M
999,366,781,314,L
938,366,663,287,L
926,358,610,294,M
987,382,817,335,L
845,359,602,270,S
872,360,601,273,S
857,353,557,243,S
841,357,526,242,S
857,353,614,245,S
1066,398,893,327,2XL
900,373,601,256,M
780,330,442,222,XS
907,356,642,288,M
940,363,737,289,L
972,377,776,295,L
953,368,646,288,L
945,380,697,309,L
953,381,724,272,L
1022,379,697,307,XL
1013,386,884,306,XL
930,352,551,248,M
970,379,749,315,L
872,354,588,298,S
1003,368,876,352,L
857,354,597,275,S
891,365,582,268,M
843,355,489,219,S
976,378,795,306,L
885,365,600,283,M
820,339,475,237,S
909,367,735,300,M
925,354,562,283,M
947,358,582,300,M
852,333,523,250,S
1023,383,756,307,XL
912,367,674,292,M
893,355,636,306,M
951,366,641,294,L
1004,362,793,346,L
893,372,652,275,M
823,332,464,233,S
901,363,593,263,M
942,377,669,280,L
920,370,609,273,M
943,350,687,307,M
826,296,452,232,XS
1055,382,835,378,XL
901,358,641,291,M
1015,394,779,301,XL
883,340,626,282,S
1050,378,713,299,XL
872,358,528,250,S
896,351,552,274,M
996,361,748,309,L
958,361,692,315,L
973,363,635,286,L
917,354,704,322,M
946,371,668,313,L
841,361,535,275,S
973,378,695,320,L
990,370,773,318,L
984,381,717,313,L
910,373,644,310,M
1203,410,1072,362,3XL
1140,413,897,359,3XL
870,350,497,260,S
1049,379,696,309,XL
910,373,647,300,M
952,365,734,315,L
914,371,573,276,M
930,356,676,296,M
1006,395,855,326,XL
1006,366,685,288,L
952,381,665,324,L
1091,385,792,355,2XL
1060,393,865,341,2XL
943,368,845,326,L
974,362,631,300,L
1113,390,898,342,2XL
1090,401,970,331,2XL
940,371,663,303,L
952,372,594,304,L
1059,376,657,313,XL
837,345,520,254,S
973,371,924,299,L
925,362,678,297,M
1030,378,687,336,XL
994,360,699,298,L
931,360,558,259,M
990,385,768,336,L
1016,378,717,334,XL
902,361,610,299,M
