,input,output,decoding,tokens_out,constraint_passed,notes
10,"“If you find that that’s part of your bedtime routine, and it’s kind of comforting and relaxing … that’s great,” she said.","“If you find that that’s part of your bedtime routine, and it’s kind of comforting and relaxing ... that’s great,” she said.",beam_search,36,True,
11,"“If you find that that’s part of your bedtime routine, and it’s kind of comforting and relaxing … that’s great,” she said.",Arie said she was comfortable with the experience because it was the first time she has been charged with,sampling,36,False,No period
12,"Try choosing content to listen to that will allow you to transition into sleep, added Dr. Lindsay Browning, a psychologist and sleep expert in Berkshire in the United Kingdom.","Sleep experts recommend listening to a variety of music, such as acoustic guitar, acoustic guitar, and acoustic guitar.",beam_search,38,True,
13,"Try choosing content to listen to that will allow you to transition into sleep, added Dr. Lindsay Browning, a psychologist and sleep expert in Berkshire in the United Kingdom.","Reading and a book written in a soothing language, and music that can help you make you",sampling,38,False,No period
14,"“Choose something not too engaging so that your brain isn’t motivated to stay awake and fight sleep to pay attention to it,” she said in an email.","“It’s a good idea to have a good night’s sleep,” she said in an email.",beam_search,38,True,
15,"“Choose something not too engaging so that your brain isn’t motivated to stay awake and fight sleep to pay attention to it,” she said in an email.","To prevent your brain from trying to focus on everything – including yourself - get caught up,",sampling,38,False,No period
16,A sleep story may be a better choice than audio of a book you want to read. Shows you have heard before and know how they end might be better than falling asleep to a nailbiter.,You can listen to a sleep story online or at a local book store. You can also listen to a sleep story on a computer. You can also listen to a sleep story on a cell phone or computer.,beam_search,45,True,
17,A sleep story may be a better choice than audio of a book you want to read. Shows you have heard before and know how they end might be better than falling asleep to a nailbiter.,You might try an audiobook or newspaper reading. Maybe you can get an audio book which will get,sampling,45,False,No period
18,When to turn the sound off,"When the sound is off, turn the sound off.",beam_search,7,True,
19,When to turn the sound off,Press F8. Hold down the left mouse button or Ctrl in your key to turn,sampling,7,False,No period
20,"A soundtrack for sleep might help you get to sleep, but it doesn’t always keep you asleep if it keeps going all night, Browning said.","It’s a good idea to listen to a good soundtrack, but it’s not always a good idea.",beam_search,33,True,
21,"A soundtrack for sleep might help you get to sleep, but it doesn’t always keep you asleep if it keeps going all night, Browning said.","It may be too loud or too tense but your brain still keeps running, allowing you",sampling,33,False,No period
22,"“It’s important to set an auto timer to mute the sounds as soon after falling asleep as possible,” she said.","“It’s important to set an auto timer to mute the sounds as soon as possible,” she said.",beam_search,30,True,
23,"“It’s important to set an auto timer to mute the sounds as soon after falling asleep as possible,” she said.",Ann-yea of NBC said the new auto timer is the fastest.,sampling,30,True,
24,"If the show, podcast, or music you are playing has unexpected noises, frequencies or volumes, it might alert your brain to pay attention, Salas said. The startling noise doesn’t always wake you up fully, but it can cause many little awakenings you aren’t aware of. That will disturb your sleep nonetheless, she added.","Listening to a show, podcast, or music can be a good way to wake up your brain.",beam_search,73,True,
25,"If the show, podcast, or music you are playing has unexpected noises, frequencies or volumes, it might alert your brain to pay attention, Salas said. The startling noise doesn’t always wake you up fully, but it can cause many little awakenings you aren’t aware of. That will disturb your sleep nonetheless, she added.",Rewarding them in turn can help you take longer to fall asleep on your next night!,sampling,73,False,No period
26,"One steady sound, like white noise or ASMR, can help your sleep quality, especially if you live in a noisy area, Salas added.","Sleeping in a noisy environment can also help you relax, he said.",beam_search,33,True,
27,"One steady sound, like white noise or ASMR, can help your sleep quality, especially if you live in a noisy area, Salas added.","A sound that has noise, and can get a buzz when you want it, has a",sampling,33,False,No period
28,"“(If) bars close at a certain time and people are outside, walking home and talking or yelling, that’s going to disrupt your sleep,” she said.","“It’s going to disrupt your sleep,” she said.",beam_search,39,True,
29,"“(If) bars close at a certain time and people are outside, walking home and talking or yelling, that’s going to disrupt your sleep,” she said.","Yoko Haram’s mother, who was also with them Saturday evening, said she and",sampling,39,False,No period
30,"A consistent and non-alarming noise can stifle those kinds of ambient noise, she said.","The noise can also be a source of alarm, she said, but it can also be a source of noise that can be disruptive.",beam_search,25,True,
31,"A consistent and non-alarming noise can stifle those kinds of ambient noise, she said.","A recent study has noted that it's too difficult to detect a ""quiet buzz",sampling,25,False,No period
32,What to do about insomnia,Try sleeping on a pillow or a pillowcase.,beam_search,6,True,
33,What to do about insomnia,sleepless,sampling,6,False,No period
34,"Sometimes listening to something to fall asleep isn’t just a nice part of a bedtime routine –– it’s a way to quiet racing thoughts at night. Some proactive steps during the day may help, Browning said.",Browning says listening to music to fall asleep isn’t just a nice part of a bedtime routine –– it’s a way to quiet racing thoughts at night. Some proactive steps during the day may help Browning,beam_search,52,False,No period
35,"Sometimes listening to something to fall asleep isn’t just a nice part of a bedtime routine –– it’s a way to quiet racing thoughts at night. Some proactive steps during the day may help, Browning said.","Eventually, you’ll have that unique feeling of 'I love you' every day of",sampling,52,False,No period
36,"“If you find that your brain is too active as you try to fall asleep, which keeps you awake, you could try to address those busy thoughts and worries earlier in the day,” she said.","A psychiatrist at the University of California, Berkeley, Dr.",beam_search,41,True,
37,"“If you find that your brain is too active as you try to fall asleep, which keeps you awake, you could try to address those busy thoughts and worries earlier in the day,” she said.",The Department of Health has commissioned an author to describe how many people have slept unbalance,sampling,41,False,No period
38,"Methods include having a dedicated time earlier in the day to think about those worries or utilizing cognitive shuffling, a technique that involves thinking up random and non-emotionally charged words to take your mind off of your racing thoughts, Browning said.",Browning said that he has found a way to reduce the amount of stress that he has in his life.,beam_search,56,True,
39,"Methods include having a dedicated time earlier in the day to think about those worries or utilizing cognitive shuffling, a technique that involves thinking up random and non-emotionally charged words to take your mind off of your racing thoughts, Browning said.","At age six, one in three men have difficulty making sense of or keeping a low-s",sampling,56,False,No period
40,"“It’s a much better idea to try to learn ways of quieting a busy mind at night that don’t require you to mask those unwanted thoughts with an external sound,” Browning said.",Browning said he’s been using earphones for about a year now and he’s been using them for about a year now.,beam_search,45,True,
41,"“It’s a much better idea to try to learn ways of quieting a busy mind at night that don’t require you to mask those unwanted thoughts with an external sound,” Browning said.",She has been working at a school in Brooklyn since she graduated from Cornell with a degree in,sampling,45,False,No period
42,"If you are using listening to something to help with insomnia and it doesn’t seem to help after a two-to-four-week period, it might be time to see a board-certified sleep physician and get to the root of the problem, Paruthi said.","Paruthi says he has been using a variety of methods to help with insomnia, including listening to music.",beam_search,59,True,
43,"If you are using listening to something to help with insomnia and it doesn’t seem to help after a two-to-four-week period, it might be time to see a board-certified sleep physician and get to the root of the problem, Paruthi said.","Parathi, along with fellow sleep advocates, have conducted an investigation into insomnia.",sampling,59,True,
44,"“There are several proven therapies that work well for insomnia treatment such as cognitive behavior therapy for insomnia, or when appropriate, medications can be considered,” she said.","“It’s important to understand that there are many ways to treat insomnia, and it’s important to understand that there are many different ways to treat insomnia,” she said.",beam_search,33,True,
45,"“There are several proven therapies that work well for insomnia treatment such as cognitive behavior therapy for insomnia, or when appropriate, medications can be considered,” she said.","“If you know your symptoms are temporary, we have the treatment for you.”",sampling,33,False,No period
